time, x, y, action, reward 
0, 0, 0, 2, 3
1, 1, 0, 2, 3
2, 2, 0, 1, -2
3, 2, 0, 3, -5
4, 1, 0, 0, 3
5, 1, 1, 1, -5
6, 1, 0, 1, -2
7, 1, 0, 0, 3
8, 1, 1, 3, -5
9, 0, 1, 2, 3
10, 1, 1, 0, -10
11, 1, 1, 1, -5
12, 1, 0, 2, 3
13, 2, 0, 2, 3
14, 3, 0, 3, -5
15, 2, 0, 0, 3
16, 2, 1, 2, 3
17, 3, 1, 0, 3
18, 3, 2, 0, 3
19, 3, 3, 2, 3
20, 4, 3, 2, 3
21, 5, 3, 2, -2
22, 5, 3, 1, -5
23, 5, 2, 0, 3
24, 5, 3, 1, -5
25, 5, 2, 2, -2
26, 5, 2, 0, 3
27, 5, 3, 0, 3
28, 5, 4, 0, 25
