time, x, y, action, reward 
0, 0, 0, 1, -2
1, 0, 0, 0, 3
2, 0, 1, 0, 3
3, 0, 2, 2, 3
4, 1, 2, 2, 3
5, 2, 2, 0, 3
6, 2, 3, 1, -5
7, 2, 2, 2, 3
8, 3, 2, 2, 3
9, 4, 2, 0, 3
10, 4, 3, 3, -5
11, 3, 3, 0, -10
12, 3, 4, 1, -5
13, 3, 3, 1, -5
14, 3, 2, 1, -5
15, 3, 1, 0, 3
16, 3, 2, 3, -5
17, 2, 2, 1, -5
18, 2, 1, 3, -5
19, 1, 1, 0, 3
20, 1, 2, 0, 3
21, 1, 3, 2, 3
22, 2, 3, 3, -5
23, 1, 3, 1, -5
24, 1, 2, 3, -5
25, 0, 2, 0, 3
26, 0, 3, 3, -2
27, 0, 3, 3, -2
28, 0, 3, 2, 3
29, 1, 3, 2, 3
30, 2, 3, 0, 3
31, 2, 4, 2, 3
32, 3, 4, 0, 3
33, 3, 5, 2, 3
34, 4, 5, 0, -2
35, 4, 5, 2, 25
