time, x, y, action, reward 
0, 0, 0, 3, -2
1, 0, 0, 1, -2
2, 0, 0, 0, 3
3, 0, 1, 1, -5
4, 0, 0, 1, -2
5, 0, 0, 0, 3
6, 0, 1, 3, -2
7, 0, 1, 2, 3
8, 1, 1, 3, -5
9, 0, 1, 2, 3
10, 1, 1, 1, -5
11, 1, 0, 2, 3
12, 2, 0, 2, 3
13, 3, 0, 2, 3
14, 4, 0, 1, -2
15, 4, 0, 2, 3
16, 5, 0, 3, -5
17, 4, 0, 0, 3
18, 4, 1, 2, 3
19, 5, 1, 1, -5
20, 5, 0, 2, -2
21, 5, 0, 3, -5
22, 4, 0, 0, 3
23, 4, 1, 0, 3
24, 4, 2, 3, -5
25, 3, 2, 1, -5
26, 3, 1, 0, 3
27, 3, 2, 0, 3
28, 3, 3, 2, 3
29, 4, 3, 2, 3
30, 5, 3, 0, 3
31, 5, 4, 0, 25
