time, x, y, action, reward 
0, 0, 0, 0, 3
1, 0, 1, 0, 3
2, 0, 2, 1, -5
3, 0, 1, 0, 3
4, 0, 2, 3, -2
5, 0, 2, 0, 3
6, 0, 3, 2, 3
7, 1, 3, 2, 3
8, 2, 3, 3, -5
9, 1, 3, 2, 3
10, 2, 3, 2, 3
11, 3, 3, 2, 3
12, 4, 3, 2, 3
13, 5, 3, 0, 3
14, 5, 4, 1, -5
15, 5, 3, 1, -5
16, 5, 2, 1, -5
17, 5, 1, 3, -5
18, 4, 1, 0, 3
19, 4, 2, 3, -5
20, 3, 2, 1, -5
21, 3, 1, 1, -5
22, 3, 0, 0, 3
23, 3, 1, 3, -5
24, 2, 1, 2, 3
25, 3, 1, 0, 3
26, 3, 2, 1, -5
27, 3, 1, 2, 3
28, 4, 1, 2, 3
29, 5, 1, 0, 3
30, 5, 2, 0, 3
31, 5, 3, 0, 3
32, 5, 4, 1, -5
33, 5, 3, 3, -5
34, 4, 3, 3, -5
35, 3, 3, 1, -5
36, 3, 2, 2, 3
37, 4, 2, 2, 3
38, 5, 2, 1, -5
39, 5, 1, 0, 3
40, 5, 2, 1, -5
41, 5, 1, 0, 3
42, 5, 2, 0, 3
43, 5, 3, 0, 3
44, 5, 4, 3, -5
45, 4, 4, 2, 3
46, 5, 4, 0, 25
